Price,Adj Close,Adj Close,Adj Close,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,AAPL,MSFT,TSLA,AAPL,MSFT,TSLA,AAPL,MSFT,TSLA,AAPL,MSFT,TSLA,AAPL,MSFT,TSLA,AAPL,MSFT,TSLA
Date,,,,,,,,,,,,,,,,,,
2022-01-03,179.48110961914062,327.5301208496094,399.9266662597656,182.00999450683594,334.75,399.9266662597656,182.8800048828125,338.0,400.3566589355469,177.7100067138672,329.7799987792969,378.67999267578125,177.8300018310547,335.3500061035156,382.5833435058594,104487900,28865100,103931400.0
2022-01-04,177.2032012939453,321.9139404296875,383.1966552734375,179.6999969482422,329.010009765625,383.1966552734375,182.94000244140625,335.20001220703125,402.6666564941406,179.1199951171875,326.1199951171875,374.3500061035156,182.6300048828125,334.8299865722656,396.51666259765625,99310400,32674300,100248300.0
2022-01-05,172.48959350585938,309.5563659667969,362.7066650390625,174.9199981689453,316.3800048828125,362.7066650390625,180.1699981689453,326.07000732421875,390.11334228515625,174.63999938964844,315.9800109863281,360.336669921875,179.61000061035156,325.8599853515625,382.2166748046875,94537600,40054300,80119800.0
2022-01-06,169.61019897460938,307.1102600097656,354.8999938964844,172.0,313.8800048828125,354.8999938964844,175.3000030517578,318.70001220703125,362.6666564941406,171.63999938964844,311.489990234375,340.1666564941406,172.6999969482422,313.1499938964844,359.0,96904000,39646100,90336600.0
2022-01-07,169.77784729003906,307.2667541503906,342.32000732421875,172.1699981689453,314.0400085449219,342.32000732421875,174.13999938964844,316.5,360.30999755859375,171.02999877929688,310.0899963378906,336.6666564941406,172.88999938964844,314.1499938964844,360.1233215332031,86709100,32720000,84164700.0
2022-01-10,169.7975616455078,307.4917907714844,352.7066650390625,172.19000244140625,314.2699890136719,352.7066650390625,172.5,314.7200012207031,353.0333251953125,168.1699981689453,304.69000244140625,326.6666564941406,169.0800018310547,309.489990234375,333.3333435058594,106765600,44289500,91815000.0
2022-01-11,172.6474151611328,308.1865234375,354.79998779296875,175.0800018310547,314.9800109863281,354.79998779296875,175.17999267578125,316.6099853515625,358.6166687011719,170.82000732421875,309.8900146484375,346.2733459472656,172.32000732421875,313.3800048828125,351.22332763671875,76138300,29386800,66063300.0
2022-01-12,173.0911407470703,311.4054870605469,368.739990234375,175.52999877929688,318.2699890136719,368.739990234375,177.17999267578125,323.4100036621094,371.61334228515625,174.82000732421875,317.0799865722656,357.5299987792969,176.1199951171875,319.6700134277344,359.6166687011719,74805200,34372200,83739000.0
